Source_Row,Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
546,2,Duration mismatch block,26,545,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
547,2,Duration mismatch block,26,546,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
548,2,Duration mismatch block,26,547,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
549,2,Duration mismatch block,26,548,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
550,2,Duration mismatch block,26,549,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
551,2,Duration mismatch block,26,550,0,0,1,0.343,360,360,0.15,0,0.04,2,0,0,0,jitter,jitter_oddball
552,2,Duration mismatch block,26,551,0,0,1,0.343,360,360,0.15,0,0.04,2,0,0,0,jitter,jitter_oddball
553,2,Duration mismatch block,26,552,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
554,2,Duration mismatch block,26,553,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
555,2,Duration mismatch block,26,554,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
556,2,Duration mismatch block,26,555,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
557,2,Duration mismatch block,26,556,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
558,2,Duration mismatch block,26,557,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
559,2,Duration mismatch block,26,558,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
560,2,Duration mismatch block,26,559,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
561,2,Duration mismatch block,26,560,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
562,2,Duration mismatch block,26,561,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
563,2,Duration mismatch block,26,562,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
564,2,Duration mismatch block,26,563,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
565,2,Duration mismatch block,26,564,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
566,2,Duration mismatch block,26,565,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
567,2,Duration mismatch block,26,566,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
568,2,Duration mismatch block,26,567,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
569,2,Duration mismatch block,26,568,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
570,2,Duration mismatch block,26,569,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
571,2,Duration mismatch block,26,570,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
572,2,Duration mismatch block,26,571,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
573,2,Duration mismatch block,26,572,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
574,2,Duration mismatch block,26,573,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
575,2,Duration mismatch block,26,574,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
576,2,Duration mismatch block,26,575,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
577,2,Duration mismatch block,26,576,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
578,2,Duration mismatch block,26,577,0,0,1,0.343,360,360,0.35,0,0.04,2,0,0,0,jitter,jitter_oddball
579,2,Duration mismatch block,26,578,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
580,2,Duration mismatch block,26,579,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
581,2,Duration mismatch block,26,580,0,0,1,0.343,360,360,0.343,0,0.04,2,0,0,0,standard,jitter_oddball
