Source_Row,Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
551,2,Sequence mismatch block,26,550,2,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
552,2,Sequence mismatch block,26,551,2,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
553,2,Sequence mismatch block,26,552,2,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
554,2,Sequence mismatch block,26,553,2,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
555,2,Sequence mismatch block,26,554,2,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
556,2,Sequence mismatch block,26,555,3,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
557,2,Sequence mismatch block,26,556,3,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
558,2,Sequence mismatch block,26,557,3,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
559,2,Sequence mismatch block,26,558,3,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
560,2,Sequence mismatch block,26,559,3,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
561,2,Sequence mismatch block,26,560,4,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
562,2,Sequence mismatch block,26,561,4,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
563,2,Sequence mismatch block,26,562,4,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
564,2,Sequence mismatch block,26,563,4,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
565,2,Sequence mismatch block,26,564,4,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
566,2,Sequence mismatch block,26,565,5,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
567,2,Sequence mismatch block,26,566,5,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
568,2,Sequence mismatch block,26,567,5,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
569,2,Sequence mismatch block,26,568,5,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
570,2,Sequence mismatch block,26,569,5,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
571,2,Sequence mismatch block,26,570,6,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
572,2,Sequence mismatch block,26,571,6,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
573,2,Sequence mismatch block,26,572,6,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
574,2,Sequence mismatch block,26,573,6,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
575,2,Sequence mismatch block,26,574,6,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
576,2,Sequence mismatch block,26,575,7,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
577,2,Sequence mismatch block,26,576,7,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
578,2,Sequence mismatch block,26,577,7,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
579,2,Sequence mismatch block,26,578,7,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
580,2,Sequence mismatch block,26,579,7,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
581,2,Sequence mismatch block,26,580,8,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
582,2,Sequence mismatch block,26,581,8,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
583,2,Sequence mismatch block,26,582,8,3,0,0,360,360,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
584,2,Sequence mismatch block,26,583,8,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
585,2,Sequence mismatch block,26,584,8,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
586,2,Sequence mismatch block,26,585,9,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
587,2,Sequence mismatch block,26,586,9,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
588,2,Sequence mismatch block,26,587,9,3,1,0,360,360,0.25,45,0.04,2,0,0,0,orientation_45,sequential_oddball
589,2,Sequence mismatch block,26,588,9,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
590,2,Sequence mismatch block,26,589,9,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
591,2,Sequence mismatch block,26,590,10,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
592,2,Sequence mismatch block,26,591,10,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
593,2,Sequence mismatch block,26,592,10,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
594,2,Sequence mismatch block,26,593,10,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
595,2,Sequence mismatch block,26,594,10,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
596,2,Sequence mismatch block,26,595,11,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
597,2,Sequence mismatch block,26,596,11,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
598,2,Sequence mismatch block,26,597,11,3,0,0,360,360,0.25,0,0.04,2,0,0,0,omission,sequential_oddball
599,2,Sequence mismatch block,26,598,11,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
600,2,Sequence mismatch block,26,599,11,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
601,2,Sequence mismatch block,26,600,12,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
602,2,Sequence mismatch block,26,601,12,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
603,2,Sequence mismatch block,26,602,12,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
604,2,Sequence mismatch block,26,603,12,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
605,2,Sequence mismatch block,26,604,12,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
606,2,Sequence mismatch block,26,605,13,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
607,2,Sequence mismatch block,26,606,13,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
608,2,Sequence mismatch block,26,607,13,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
609,2,Sequence mismatch block,26,608,13,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
610,2,Sequence mismatch block,26,609,13,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
611,2,Sequence mismatch block,26,610,14,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
612,2,Sequence mismatch block,26,611,14,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
613,2,Sequence mismatch block,26,612,14,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
614,2,Sequence mismatch block,26,613,14,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
615,2,Sequence mismatch block,26,614,14,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
616,2,Sequence mismatch block,26,615,15,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
617,2,Sequence mismatch block,26,616,15,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
618,2,Sequence mismatch block,26,617,15,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
619,2,Sequence mismatch block,26,618,15,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
620,2,Sequence mismatch block,26,619,15,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
621,2,Sequence mismatch block,26,620,16,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
622,2,Sequence mismatch block,26,621,16,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
623,2,Sequence mismatch block,26,622,16,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
624,2,Sequence mismatch block,26,623,16,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
625,2,Sequence mismatch block,26,624,16,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
626,2,Sequence mismatch block,26,625,17,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
627,2,Sequence mismatch block,26,626,17,2,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
628,2,Sequence mismatch block,26,627,17,3,1,0,360,360,0.25,0,0.04,2,0,0,0,standard,sequential_oddball
629,2,Sequence mismatch block,26,628,17,4,1,0,360,360,0.25,45,0.04,2,0,0,0,standard,sequential_oddball
630,2,Sequence mismatch block,26,629,17,5,0,0,360,360,0.25,0,0.04,2,0,0,0,sequence_omission,sequential_oddball
631,2,Sequence mismatch block,26,630,18,1,1,0,360,360,0.25,90,0.04,2,0,0,0,standard,sequential_oddball
